Timestamp (UTC),Stock Value
2024-03-21 18:49:15.676000+01:00,97500
2024-03-21 18:49:30.682000+01:00,97500
2024-03-21 18:49:45.686000+01:00,97500
2024-03-21 18:50:00.690000+01:00,97500
2024-03-21 18:50:15.682000+01:00,97500
2024-03-21 18:50:30.687000+01:00,97500
2024-03-21 18:50:45.690000+01:00,97500
2024-03-21 18:51:00.682000+01:00,97500
2024-03-21 18:51:15.686000+01:00,97500
2024-03-21 18:51:30.686000+01:00,97500
2024-03-21 18:51:45.681000+01:00,97500
2024-03-21 18:52:00.688000+01:00,97500
2024-03-21 18:52:15.688000+01:00,97500
2024-03-21 18:52:30.681000+01:00,97500
2024-03-21 18:52:45.681000+01:00,97500
2024-03-21 18:53:00.688000+01:00,97500
2024-03-21 18:53:15.686000+01:00,97500
2024-03-21 18:53:30.685000+01:00,97500
2024-03-21 18:53:45.688000+01:00,97500
2024-03-21 18:54:00.682000+01:00,97500
2024-03-21 18:54:15.691000+01:00,97500
2024-03-21 18:54:30.689000+01:00,97500
2024-03-21 18:54:45.691000+01:00,97500
2024-03-21 18:55:00.688000+01:00,97500
2024-03-21 18:55:15.689000+01:00,97500
2024-03-21 18:55:30.685000+01:00,97500
2024-03-21 18:55:45.677000+01:00,97500
2024-03-21 18:56:00.684000+01:00,97500
2024-03-21 18:56:15.680000+01:00,97500
2024-03-21 18:56:30.677000+01:00,97500
2024-03-21 18:56:45.679000+01:00,97500
2024-03-21 18:57:00.677000+01:00,97500
2024-03-21 18:57:15.780000+01:00,97500
2024-03-21 18:57:30.686000+01:00,97500
2024-03-21 18:57:45.688000+01:00,97500
2024-03-21 18:58:00.676000+01:00,97500
2024-03-21 18:58:15.687000+01:00,97500
2024-03-21 18:58:30.688000+01:00,97500
2024-03-21 18:58:45.684000+01:00,97500
2024-03-21 18:59:00.681000+01:00,97500
2024-03-21 18:59:15.681000+01:00,97500
2024-03-21 18:59:30.683000+01:00,97500
2024-03-21 18:59:45.678000+01:00,97500
2024-03-21 19:00:00.681000+01:00,97500
2024-03-21 19:00:15.785000+01:00,97346
2024-03-21 19:00:30.775000+01:00,96616
2024-03-21 19:01:15.680000+01:00,89810
2024-03-21 19:01:45.681000+01:00,77213
2024-03-21 19:02:00.782000+01:00,73803
2024-03-21 19:02:15.786000+01:00,70391
2024-03-21 19:02:30.680000+01:00,70391
2024-03-21 19:03:00.683000+01:00,60060
2024-03-21 19:03:15.676000+01:00,54715
2024-03-21 19:03:45.781000+01:00,54715
2024-03-21 19:04:00.688000+01:00,52505
2024-03-21 19:04:15.778000+01:00,44021
2024-03-21 19:04:45.774000+01:00,44021
2024-03-21 19:05:00.779000+01:00,42838
2024-03-21 19:05:29.784000+01:00,40851
2024-03-21 19:05:32.049000+01:00,40851
2024-03-21 19:05:45.685000+01:00,39756
2024-03-21 19:06:00.678000+01:00,39472
2024-03-21 19:06:15.687000+01:00,38781
2024-03-21 19:06:30.682000+01:00,38333
2024-03-21 19:06:45.785000+01:00,37420
2024-03-21 19:07:00.775000+01:00,37310
2024-03-21 19:07:15.777000+01:00,37102
2024-03-21 19:07:30.776000+01:00,36647
2024-03-21 19:07:45.781000+01:00,36647
2024-03-21 19:08:00.681000+01:00,36611
2024-03-21 19:08:15.684000+01:00,36115
2024-03-21 19:08:30.776000+01:00,36024
2024-03-21 19:08:45.777000+01:00,35870
2024-03-21 19:09:00.774000+01:00,35792
2024-03-21 19:09:15.788000+01:00,35540
2024-03-21 19:10:29.783000+01:00,35091
2024-03-21 19:10:45.777000+01:00,35034
2024-03-21 19:11:00.782000+01:00,34999
2024-03-21 19:11:15.777000+01:00,34950
2024-03-21 19:11:30.787000+01:00,34855
2024-03-21 19:12:29.777000+01:00,34050
2024-03-21 19:12:52.162000+01:00,33931
2024-03-21 19:13:00.683000+01:00,33931
2024-03-21 19:13:15.775000+01:00,33713
2024-03-21 19:13:30.676000+01:00,33482
2024-03-21 19:13:45.788000+01:00,33361
2024-03-21 19:14:00.784000+01:00,33315
2024-03-21 19:14:15.784000+01:00,33278
2024-03-21 19:14:30.679000+01:00,33248
2024-03-21 19:14:45.686000+01:00,33240
2024-03-21 19:15:00.690000+01:00,32713
2024-03-21 19:15:15.681000+01:00,32527
2024-03-21 19:15:30.690000+01:00,32527
2024-03-21 19:15:45.682000+01:00,32435
2024-03-21 19:16:00.777000+01:00,32321
2024-03-21 19:16:15.783000+01:00,32486
2024-03-21 19:16:30.774000+01:00,32166
2024-03-21 19:16:45.776000+01:00,32066
2024-03-21 19:17:29.789000+01:00,31864
2024-03-21 19:17:37.497000+01:00,31864
2024-03-21 19:17:45.686000+01:00,31670
2024-03-21 19:18:00.787000+01:00,31617
2024-03-21 19:18:15.677000+01:00,31487
2024-03-21 19:18:30.676000+01:00,31307
2024-03-21 19:18:45.676000+01:00,30997
2024-03-21 19:19:00.687000+01:00,30910
2024-03-21 19:19:15.677000+01:00,30815
2024-03-21 19:19:30.686000+01:00,30815
2024-03-21 19:19:45.683000+01:00,30791
2024-03-21 19:20:00.688000+01:00,30660
2024-03-21 19:20:15.679000+01:00,30616
2024-03-21 19:20:30.680000+01:00,30446
2024-03-21 19:20:45.680000+01:00,30329
2024-03-21 19:21:00.679000+01:00,30299
2024-03-21 19:21:15.682000+01:00,30281
2024-03-21 19:21:30.688000+01:00,30001
2024-03-21 19:21:45.691000+01:00,29930
2024-03-21 19:22:00.687000+01:00,29871
2024-03-21 19:22:15.690000+01:00,29859
2024-03-21 19:22:30.690000+01:00,29780
2024-03-21 19:22:45.680000+01:00,29728
2024-03-21 19:23:00.689000+01:00,29714
2024-03-21 19:23:15.676000+01:00,29679
2024-03-21 19:23:30.689000+01:00,29679
2024-03-21 19:23:45.688000+01:00,29557
2024-03-21 19:24:00.688000+01:00,29535
2024-03-21 19:24:15.778000+01:00,29460
2024-03-21 19:24:30.784000+01:00,29454
2024-03-21 19:24:45.782000+01:00,29201
2024-03-21 19:25:00.779000+01:00,29172
2024-03-21 19:25:29.787000+01:00,19191
2024-03-21 19:26:29.788000+01:00,18652
2024-03-21 19:27:29.784000+01:00,18572
2024-03-21 19:28:29.785000+01:00,18178
2024-03-21 19:29:29.788000+01:00,18061
2024-03-21 19:30:29.775000+01:00,17906
2024-03-21 19:31:29.787000+01:00,17777
2024-03-21 19:32:29.787000+01:00,17483
2024-03-21 19:33:29.779000+01:00,17437
2024-03-21 19:34:29.789000+01:00,17362
2024-03-21 19:35:29.786000+01:00,17291
2024-03-21 19:36:29.776000+01:00,17025
2024-03-21 19:37:29.782000+01:00,16620
2024-03-21 19:38:29.785000+01:00,16194
2024-03-21 19:39:29.783000+01:00,16132
2024-03-21 19:40:29.783000+01:00,15831
2024-03-21 19:41:29.778000+01:00,15787
2024-03-21 19:42:29.783000+01:00,15763
2024-03-21 19:43:29.775000+01:00,15622
2024-03-21 19:44:29.775000+01:00,15578
2024-03-21 19:45:29.777000+01:00,15399
2024-03-21 19:46:29.779000+01:00,15160
2024-03-21 19:47:29.778000+01:00,15148
2024-03-21 19:48:29.779000+01:00,15190
2024-03-21 19:49:29.788000+01:00,15188
2024-03-21 19:50:29.781000+01:00,14570
2024-03-21 19:51:29.783000+01:00,14500
2024-03-21 19:52:29.780000+01:00,14434
2024-03-21 19:53:29.789000+01:00,14182
2024-03-21 19:54:29.789000+01:00,14155
2024-03-21 19:55:29.779000+01:00,14149
2024-03-21 19:56:29.785000+01:00,14128
2024-03-21 19:57:29.785000+01:00,14124
2024-03-21 19:58:29.781000+01:00,14197
2024-03-21 19:59:29.783000+01:00,14104
2024-03-21 20:00:29.777000+01:00,13925
2024-03-21 20:01:29.789000+01:00,13542
2024-03-21 20:02:29.787000+01:00,13516
2024-03-21 20:03:29.788000+01:00,13510
2024-03-21 20:04:29.780000+01:00,13489
2024-03-21 20:05:29.778000+01:00,13333
2024-03-21 20:06:29.784000+01:00,13374
2024-03-21 20:07:29.785000+01:00,13492
2024-03-21 20:08:03.665000+01:00,13362
2024-03-21 20:08:15.683000+01:00,13342
2024-03-21 20:08:30.690000+01:00,13342
2024-03-21 20:08:45.783000+01:00,12841
2024-03-21 20:09:00.784000+01:00,12816
2024-03-21 20:09:15.784000+01:00,12816
2024-03-21 20:09:30.776000+01:00,12835
2024-03-21 20:10:29.777000+01:00,12797
2024-03-21 20:11:29.776000+01:00,12725
2024-03-21 20:11:50.991000+01:00,12724
2024-03-21 20:12:00.680000+01:00,12610
2024-03-21 20:12:15.776000+01:00,12595
2024-03-21 20:12:30.779000+01:00,12541
2024-03-21 20:12:45.782000+01:00,12541
2024-03-21 20:13:00.777000+01:00,12541
2024-03-21 20:13:29.776000+01:00,12547
2024-03-21 20:14:29.789000+01:00,12382
2024-03-21 20:15:29.782000+01:00,12354
2024-03-21 20:15:46.294000+01:00,12323
2024-03-21 20:16:00.779000+01:00,12341
2024-03-21 20:16:15.775000+01:00,12663
2024-03-21 20:16:30.785000+01:00,12639
2024-03-21 20:16:45.782000+01:00,12639
2024-03-21 20:17:29.782000+01:00,12630
2024-03-21 20:18:29.784000+01:00,12465
2024-03-21 20:18:50.629000+01:00,12495
2024-03-21 20:19:00.779000+01:00,12456
2024-03-21 20:19:15.780000+01:00,12456
2024-03-21 20:19:30.784000+01:00,12451
2024-03-21 20:19:45.774000+01:00,12451
2024-03-21 20:20:29.787000+01:00,12315
2024-03-21 20:21:29.782000+01:00,12210
2024-03-21 20:22:18.105000+01:00,12167
